id,code,AggIndex,SMILES,color_in_powder,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,application1,application2,application3,application4,pka,comment,tested_solvent
2189,f-4Ph-4SMe,NULL,CSc1ccc(c2ccc(c3c(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)c6c(c7ccc(c8ccc(SC)cc8)cc7)ccc(c9ccc(SC)cc9)c6)cc(c%10ccc(SC)cc%10)cc3)cc2)cc1,green,973,311,503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,1,0,1,0,1,1,0,NULL,NULL,NULL,NULL,NULL,single-molecule devices,NULL,NULL,NULL,NULL,NULL,THF
2190,BP-2PXZ,NULL,O=C(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)C5=CC=C(N6C(C=CC=C7)=C7OC8=C6C=CC=C8)C=C5,yellow,544,398,NULL,558,558,NULL,0.9,20.3,NULL,NULL,160,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,Cell imaging,fluorescence lifetime imaging,NULL,NULL,7,NULL,THF
2191,BP-PXZ,NULL,O=C(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)C5=CC=CC=C5,yellow,363,390,NULL,546,546,NULL,0.4,13.6,NULL,NULL,250,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,Cell imaging,fluorescence lifetime imaging,NULL,NULL,7,NULL,THF
2192,BP-2PTZ,NULL,O=C(C1=CC=C(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)C=C1)C5=CC=C(N6C(C=CC=C7)=C7SC8=C6C=CC=C8)C=C5,yellow,576,339,NULL,551,551,NULL,0.8,24.1,NULL,NULL,310,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,Cell imaging,fluorescence lifetime imaging,NULL,NULL,7,NULL,THF
2193,f-4Ph-2SMe-A,NULL,CSc1ccc(c2ccc(c3ccc(c4ccc(SC)cc4)cc3/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)c7cc(c8ccccc8)ccc7c9ccc(c%10ccccc%10)cc9)cc2)cc1,green,881,302,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,1,0,1,0,1,1,0,NULL,NULL,NULL,NULL,NULL,single-molecule devices,NULL,NULL,NULL,NULL,NULL,THF
2194,f-4Ph-2SMe-B,NULL,CSc1ccc(c2ccc(c3ccc(c4ccccc4)cc3/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)c7cc(c8ccccc8)ccc7c9ccc(c%10ccc(SC)cc%10)cc9)cc2)cc1,green,881,306,502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,NULL,NULL,1,0,1,0,1,1,0,NULL,NULL,NULL,NULL,NULL,single-molecule devices,NULL,NULL,NULL,NULL,NULL,THF
2195,BP-PTZ,NULL,O=C(C1=CC=C(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)C=C1)C5=CC=CC=C5,yellow,379,336,NULL,544,544,NULL,0.9,20.8,NULL,NULL,1060,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,Cell imaging,fluorescence lifetime imaging,NULL,NULL,7,NULL,THF
2196,f-Pn-6QL,NULL,C12=C(C3=CC(C=CC=N4)=C4C=C3)C(C5=CC=C(N=CC=C6)C6=C5)=C(C=CC=C7)C7=C1C=CC=C2,green,433,320,375,374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,0,0,0,1,0,0,1,0,NULL,NULL,NULL,NULL,1,electron transport materials,NULL,NULL,NULL,NULL,NULL,THF
2197,f-Pn-3QL,NULL,C12=C(C3=CC(C=CC=C4)=C4N=C3)C(C5=CN=C(C=CC=C6)C6=C5)=C(C=CC=C7)C7=C1C=CC=C2,green,433,320,387,383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,other,1,NULL,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,electron transport materials,NULL,NULL,NULL,NULL,NULL,THF
2198,l-Pn-6QL,NULL,C1(C=C(C2=CC=C(N=CC=C3)C3=C2)C=C4)=C4C(C=CC(C5=CC=C(N=CC=C6)C6=C5)=C7)=C7C=C1,green,433,338,382,406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,other,other,1,0,0,0,1,0,0,0,0,NULL,NULL,NULL,NULL,1,electron transport materials,dual emission in film,NULL,NULL,NULL,NULL,THF
