id,code,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi,aTB
1844.0,c6-TPBQ,Cc1cn2[c-](c3c(C4=c(cccc5)c5=c6ccccc6=C42)cccc3)c(c7ccccc7)c1.FB(F)F.[F-],"Chem.Sci.,2021,12,709-717",421.1779,,,AIE,other,10.1039/d0sc04725b,failed
1846.0,TPEPyE,C5(/C(=C(C1=CC=CC=C1)/C3=CC=C(C2=CC=[N+](CC)C=C2)C=C3)C4=CC=CC=C4)=CC=CC=C5.[I-],"Biosens.Bioelectron.,2016,85,62-67",565.13,,,AIE,other,10.1016/j.bios.2016.04.071,failed
1847.0,1@CB[7],c%12ccc(C[n+]%11ccc(c%10ccc(/C(=C(c3ccc(c2cc[n+](Cc1ccccc1)cc2)cc3)/c6ccc(c5cc[n+](Cc4ccccc4)cc5)cc6)c9ccc(c8cc[n+](Cc7ccccc7)cc8)cc9)cc%10)cc%11)cc%12.[Br-].[Br-].[Br-].[Br-],"Sens.ActuatorsB:Chem.,2018,261,602-607.",1324.2,,,AIE,other,10.1016/j.snb.2018.01.197.,failed
1855.0,TPPTPE,C%12(/C(=C(C3=CC=C(C2=CC=[N+](CC1=CC=CC=C1)C=C2)C=C3)/C6=CC=C(C5=CC=[N+](CC4=CC=CC=C4)C=C5)C=C6)C9=CC=C(C8=CC=[N+](CC7=CC=CC=C7)C=C8)C=C9)=CC=C(C%11=CC=[N+](CC%10=CC=CC=C%10)C=C%11)C=C%12.[Br-].[Br-].[Br-].[Br-],"Analyst,2017,142,4388-4392",1320.16,,,AIE,other,10.1039/C7AN01336A,failed
1858.0,TPI-C,CCCCCCCCn3c(c1ccc(OC(=O)NCC[Si](OCC)(OCC)OCC)cc1)nc(c2ccccc2)c3c4ccccc4,"Mater.Horiz.,2019,6,2032-2039.",599.888,,,AIE,other,10.1039/c9mh00798a,failed
1859.0,MOTIPS-TPE,C6(/C(=C(C1=CC=CC=C1)/C4=CC=C(C3=CC=[N+](CC2=CC=C(O[Si](C(C)C)(C(C)C)C(C)C)C=C2)C=C3)C=C4)C5=CC=CC=C5)=CC=C(OC)C=C6.[Br-],"RSCAdv.,2016,6,59400-59404",781.3,,,AIE,other,10.1039/c6ra10878d,failed
1862.0,HCyNB,C5(CC(OC1=CC4=C(C=C1)C=C(/C=C/C3=[N+](C)C2=CC=CC=C2C3(C)C)C=C4)=O)=CC=CC=C5.[I-],"NewJ.Chem.,2019,43,6429-6434",573.11647,,,AIE,ICT,10.1039/c9nj00890j,failed
1866.0,TPE-2EP+,C[N+](C=C1)=CC=C1/C=CC(C=C2)=CC=C2/C(C3=CC=C(/C=CC4=CC=[N+](C)C=C4)C=C3)=C(C5=CC=CC=C5)C6=CC=CC=C6.[I-].[I-],"J.Am.Chem.Soc.2019,141,5612−5616",822.57,,,AIE,TICT,10.1021/jacs.9b00636,failed
1885.0,TPETPyP,C/1=CC%18=NC1=C(C6=CC=[N+](CC5=CC=C(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4)C=C5)C=C6)/C7=CC=C(N7)/C(C%12=CC=[N+](CC%11=CC=C(/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C%11)C=C%12)=C/%25N=C(/C(C%17=CC=[N+](CC%16=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%16)C=C%17)=C/%24N/C(=C%18/C%23=CC=[N+](CC%22=CC=C(/C(C%19=CC=CC=C%19)=C(C%20=CC=CC=C%20)C%21=CC=CC=C%21)C=C%22)C=C%23)C=C%24)C=C%25.[Br-].[Br-].[Br-].[Br-],,2320.0,,,AIE,other,10.1016/j.cclet.2019.08.037,failed
1886.0,4TPA-BQ,C%14(N(C%12=CC=C(C8=C(C3=CC=C(N(C1=CC=CC=C1)C2=CC=CC=C2)C=C3)C%11=C(C7=C(C6=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C6)C=C(C)C=[N+]78)C=CC(N(C9=CC=CC=C9)C%10=CC=CC=C%10)=C%11)C=C%12)C%13=CC=CC=C%13)=CC=CC=C%14.[P-](F)(F)(F)(F)(F)F,"Angew.Chem.Int.Ed.,2020,59,9470-9477",1236.0,,,AIE,other,10.1002/anie.201909706,failed
1888.0,IDT-TPE,CCCCCCC1(CCCCCC)C2=C(SC(C3=C(C(C=C4)=CC=C4/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7)C=C(/C=C8/C(C(C=CC=C9)=C9C8=O)=C(C#N)C#N)S3)=C2)C%10=CC%11=C(C(SC(C%12=C(C(C=C%13)=CC=C%13/C(C%14=CC=CC=C%14)=C(C%15=CC=CC=C%15)/C%16=CC=CC=C%16)C=C(/C=C%17/C(C(C=CC=C%18)=C%18C%17=O)=C(C#N)C#N)S%12)=C%19)=C%19C%11(CCCCCC)CCCCCC)C=C%101,"Small2021,17,2102044",1836.719,,,AIE,other,10.1002/smll.202102044,failed
1893.0,TFVP,C[N+](C)(C)CCC[N+]1=CC=C(/C=C/C(O2)=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C=C1.[Br-].[Br-],"Angew.Chem.Int.Ed.2020,59,9610–9616",675.0,,,AIE,other,10.1002/anie.202000740,failed
1894.0,TTPy-NH2,NCCC[N+]1=CC=C(/C=C/C(S2)=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C=C1.[Br-],"Adv.Sci.2021,8,2100811",568.0,,,AIE,other,10.1002/advs.202100811,failed
1908.0,TPE-DPA-Se,N(C1=CC=C(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)C=C1)(C5=CC=CC=C5)C6=CC=C(C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=C(/C(C%11=CC=CC=C%11)=C(C%12=CC=CC=C%12)/C%13=CC=CC=C%13)C=C%10)C=C8)C%14=N[Se]N=C%147)C=C6,"ActaChim.Sinica2021,79,319-325",1178.354,,,AIE,TICT,10.6023/A20100501,failed
1909.0,DCMHNO,N#C/C(C#N)=C1C2=CC=CC=C2OC(/C=C/C3=CC=C(C=C3)OC(C4=C(C=CC=C4)P(C5=CC=CC=C5)C6=CC=CC=C6)=O)=C1,"Sci.Chin.Chem.,2020,63,282-289",600.0,,,AIE,ICT,10.1007/s11426-019-9604-3,failed
1911.0,DPASI,C[N+](C=C1)=CC=C1/C=C/C(C=C2)=CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4.[I-],"Mater.Chem.Front.,2020,4,957-964",490.0,,,AIE,ESIPT,10.1039/c9qm00732f,failed
